ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
P06576,0,0,1,0,0
P06729,1,1,1,1,1
P06731,1,1,1,1,0
P06734,1,0,1,1,0
P06756,1,1,1,1,1
P06858,0,1,1,0,0
P07093,0,0,1,0,0
P07099,0,0,1,0,0
P07202,1,1,1,0,1
P07204,1,1,1,1,1
P07306,1,1,1,0,1
P07307,1,1,1,0,1
P07333,1,1,1,1,1
P07355,0,0,1,0,0
P07359,1,1,1,1,1
P07510,1,1,0,0,1
P07550,1,1,1,1,1
P07766,1,0,1,1,1
P07858,0,0,0,1,0
P07911,1,1,0,0,0
P07949,1,1,1,0,0
P07996,0,0,1,0,0
P08034,1,1,1,0,1
P08069,1,1,1,1,1
P08100,1,1,1,0,1
P08134,0,0,1,0,0
P08138,1,1,1,1,1
P08172,1,1,1,1,1
P08173,1,1,1,1,1
P08174,1,1,1,1,0
P08183,1,1,1,1,1
P08195,1,1,1,1,1
P08238,0,0,1,0,0
P08246,0,0,1,0,0
P08247,0,1,1,0,1
P08294,1,0,0,0,0
P08311,0,0,1,1,0
P08473,1,1,1,1,1
P08514,1,1,1,1,1
P08571,1,1,1,1,0
P08574,0,0,1,0,0
P08575,1,1,1,1,1
P08581,1,1,1,0,1
P08582,1,1,1,0,0
P08588,1,1,1,0,1
P08637,1,1,1,1,1
P08648,1,1,1,1,0
P08684,0,0,1,0,0
P08697,0,0,1,0,0
P08758,0,0,1,0,0
P08842,0,1,1,0,1
P08887,1,1,1,1,1
P08908,1,1,1,0,1
P08910,1,0,1,0,0
P08912,1,1,1,1,1
P08913,1,1,0,1,1
P08922,1,1,1,0,1
P08962,1,1,1,1,1
P08F94,1,1,1,0,1
P09131,0,1,1,0,1
P09172,0,0,1,0,0
P09326,1,1,0,1,1
P09382,0,0,1,0,0
P09429,0,0,1,0,0
P09486,0,0,1,0,0
P09525,0,0,1,0,0
P09564,1,1,1,1,1
P09603,0,1,1,0,1
P09619,1,1,1,1,1
P09669,0,0,1,0,0
P09693,1,1,1,1,1
P09758,1,1,1,0,1
P09848,1,1,0,0,1
P09912,0,0,1,0,1
P09923,1,1,0,0,0
P09958,0,1,1,0,0
P0C604,1,1,0,0,0
P0C617,1,1,1,0,0
P0C623,1,1,1,0,0
P0C626,1,1,1,0,0
P0C628,1,1,0,0,0
P0C629,1,1,0,0,0
P0C645,1,1,1,0,0
P0C646,1,1,1,0,0
P0C672,0,0,1,0,0
P0C6S8,1,1,1,0,0
P0C6T2,0,0,1,0,0
P0C7M8,0,0,1,0,0
P0C7N1,1,1,1,0,1
P0C7N4,0,0,1,0,0
P0C7N5,1,1,0,0,0
P0C7N8,1,1,0,0,1
P0C7Q5,0,0,1,0,0
P0C7Q6,0,0,1,0,0
P0C7T2,1,1,1,0,0
P0C7T3,1,1,1,0,0
